學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
400144,國立臺灣戲曲學院附設高職,28,41,119,91,0,0,21,122,278,42,109
140222,國立臺東專科學校附設高職,40,33,21,11,0,0,36,656,279,124,70
010301,國立華僑中學,46,97,4,8,7,22,48,804,892,232,272
011301,私立淡江高中,44,69,0,0,9,12,42,804,829,259,311
011302,私立康橋高中,23,23,0,0,2,5,18,403,343,92,99
011306,私立金陵女中,28,85,2,4,2,20,23,0,1045,0,344
011309,財團法人南山高中,97,109,5,5,10,25,44,1220,753,449,277
011310,財團法人恆毅高中,48,67,7,7,9,18,23,680,347,226,121
011311,私立聖心女中,13,44,2,8,2,13,10,0,447,0,166
011312,私立崇義高中,10,0,4,5,2,6,11,144,42,67,22
011314,財團法人中華高中,30,16,16,2,8,6,40,1161,343,482,194
011315,私立東海高中,46,41,7,4,6,15,56,1562,411,449,153
011316,私立格致高中,82,48,7,1,8,14,53,1425,710,603,278
011317,私立醒吾高中,30,71,32,15,8,26,57,1115,1268,455,510
011318,私立徐匯高中,30,36,2,0,6,8,15,641,0,228,0
011322,財團法人崇光女中,17,86,0,0,2,17,18,0,770,0,275
011323,私立光仁高中,38,61,7,13,3,13,18,360,400,118,127
011324,私立竹林高中,72,79,3,5,4,17,36,731,739,247,247
011325,私立及人高中,40,46,2,1,6,16,20,461,308,214,152
011329,財團法人辭修高中,40,56,1,3,11,15,17,431,261,149,124
011399,私立時雨高中,43,32,2,0,11,17,10,293,164,0,0
013303,市立泰山高中,91,63,46,11,14,20,69,1946,676,514,211
013304,市立板橋高中,56,86,7,9,4,18,60,1240,1126,405,413
013335,市立新店高中,32,88,27,59,2,18,51,1014,970,334,318
013336,市立中和高中,42,83,0,0,2,17,54,1182,939,364,373
013337,市立新莊高中,51,82,8,8,2,17,57,1145,1109,402,351
013338,市立新北高中,47,72,3,10,5,15,51,1002,900,323,315
013339,市立林口高中,45,63,0,0,5,16,45,904,957,264,300
014302,市立海山高中,81,189,22,21,3,20,36,680,558,209,212
014311,市立三重高中,62,122,0,0,4,14,33,564,682,152,202
014315,市立永平高中,52,135,12,8,5,13,35,536,685,238,172
014322,市立樹林高中,71,161,24,24,4,17,48,790,921,212,297
014326,市立明德高中,55,94,4,2,4,16,32,586,588,178,200
014332,市立秀峰高中,57,109,24,17,4,15,27,467,468,86,125
014338,市立金山高中,40,63,4,3,3,10,17,261,244,58,89
014343,市立安康高中,41,88,16,10,1,11,29,493,497,129,140
014347,市立雙溪高中,24,41,0,0,5,6,14,223,213,55,67
014348,市立石碇高中,27,47,0,0,3,9,16,246,300,82,89
014353,市立丹鳳高中,65,133,10,22,4,13,27,470,510,115,153
